Name;Station;Time(norwegian mean time);Mean air temperature (24 h);Average air pressure, station level (24 h)
Trondheim - Voll;SN68860;06.10.2020;11.7;985
Trondheim - Voll;SN68860;07.10.2020;10.6;981.2
Trondheim - Voll;SN68860;08.10.2020;9.3;984.9
Trondheim - Voll;SN68860;09.10.2020;8.2;988.2
Trondheim - Voll;SN68860;10.10.2020;7.7;996.7
Trondheim - Voll;SN68860;11.10.2020;8.6;998.8
Trondheim - Voll;SN68860;12.10.2020;7.3;998.2
Trondheim - Voll;SN68860;13.10.2020;6.5;1008
Trondheim - Voll;SN68860;14.10.2020;6.1;1016.3
Trondheim - Voll;SN68860;15.10.2020;6.3;1013.8
Trondheim - Voll;SN68860;16.10.2020;7;1010.5
Trondheim - Voll;SN68860;17.10.2020;5.4;997.1
Trondheim - Voll;SN68860;18.10.2020;3.7;994.6
Trondheim - Voll;SN68860;19.10.2020;2.2;998.5
Trondheim - Voll;SN68860;20.10.2020;1.3;992.6
Trondheim - Voll;SN68860;21.10.2020;2.3;983.9
Trondheim - Voll;SN68860;22.10.2020;1.7;983.6
Trondheim - Voll;SN68860;23.10.2020;-0.1;987.2
Trondheim - Voll;SN68860;24.10.2020;0;983.7
Trondheim - Voll;SN68860;25.10.2020;7.9;973.7
Trondheim - Voll;SN68860;26.10.2020;6.5;978.5
Trondheim - Voll;SN68860;27.10.2020;4.3;976.9
Trondheim - Voll;SN68860;28.10.2020;3.6;974
Trondheim - Voll;SN68860;29.10.2020;5.5;983.4
Trondheim - Voll;SN68860;30.10.2020;4.8;991.8
Trondheim - Voll;SN68860;31.10.2020;6.3;995.6
Trondheim - Voll;SN68860;01.11.2020;11.4;978
Trondheim - Voll;SN68860;02.11.2020;10.5;964.1
Trondheim - Voll;SN68860;03.11.2020;6.1;983.1
Trondheim - Voll;SN68860;04.11.2020;5.1;990.7
Trondheim - Voll;SN68860;05.11.2020;-;991.8
Data valid for 05.11.2020 (CC BY 4.0), The Norwegian Meteorological Institute (MET Norway);;;;
